Daerah,provinsi,sumDesa,danadesa,tahun,miskin,miskin_perc,populasi,ipm,pdrb_tani,pdrb_growth
Kab. Jember,Jawa Timur,226,205006634,2017,266.9,11,2426.363636,64.96,13851.7,5.11
Kab. Jombang,Jawa Timur,302,244245613,2017,131.16,10.48,1251.526718,70.88,4430.05,5.36
Kab. Kediri,Jawa Timur,343,278633039,2017,191.08,12.25,1559.836735,70.47,6025.86,4.9
Kab. Lamongan,Jawa Timur,462,363423524,2017,171.38,14.42,1188.488211,71.11,8717.13,5.52
Kab. Lumajang,Jawa Timur,198,165136155,2017,112.65,10.87,1036.338546,64.23,7262.15,5.05
Kab. Madiun,Jawa Timur,198,158196624,2017,83.43,12.28,679.3973941,70.27,3497.7,5.42
Kab. Magetan,Jawa Timur,207,162234334,2017,65.87,10.48,628.5305344,72.6,3511.15,5.09
Kab. Malang,Jawa Timur,378,312979737,2017,283.96,11.04,2572.101449,68.47,4012.92,5.39
Kab. Mojokerto,Jawa Timur,299,236465127,2017,111.79,10.19,1097.055937,72.36,3883.25,5.74
Kab. Nganjuk,Jawa Timur,264,215210307,2017,125.52,11.98,1047.746244,70.69,4890.82,5.26
Kab. Ngawi,Jawa Timur,213,177370619,2017,123.76,14.91,830.0469484,69.27,3945.03,5.07
Kab. Pacitan,Jawa Timur,166,134532774,2017,85.26,15.42,552.9182879,66.51,2595.68,4.98
Kab. Pamekasan,Jawa Timur,178,154653597,2017,137.77,16,861.0625,64.93,3137.58,5.04
Kab. Pasuruan,Jawa Timur,341,275500861,2017,165.64,10.34,1601.934236,66.69,5906.98,5.72
Kab. Ponorogo,Jawa Timur,281,225521779,2017,99.03,11.39,869.4468832,69.26,3381.49,5.1
Kab. Probolinggo,Jawa Timur,325,271486142,2017,236.72,20.52,1153.606238,64.28,7350.29,4.46
Kab. Sampang,Jawa Timur,180,167492597,2017,225.13,23.56,955.5602716,59.9,3953.4,4.69
Kab. Sidoarjo,Jawa Timur,322,261930612,2017,135.42,6.23,2173.675762,78.7,2654.51,5.8
Kab. Situbondo,Jawa Timur,132,111434587,2017,88.23,13.05,676.091954,65.68,3753.21,5.07
Kab. Sumenep,Jawa Timur,330,271773005,2017,211.92,19.62,1080.122324,64.28,7681.99,2.86
Kab. Trenggalek,Jawa Timur,152,126272713,2017,89.77,12.96,692.6697531,68.1,3067.31,5.02
Kab. Tuban,Jawa Timur,311,353388557,2017,196.1,16.87,1162.418494,66.77,7325.4,5
Kab. Tulungagung,Jawa Timur,257,203074565,2017,82.8,8.04,1029.850746,71.24,4536.68,5.08
Kota Batu,Jawa Timur,19,18852611,2017,8.77,4.31,203.4802784,74.26,1469.64,6.56
Kab. Bantul,DIY,75,77730491,2017,139.67,14.07,992.6794598,78.67,2032.34,5.1
Kab. Gunung Kidul,DIY,144,132353781,2017,135.74,18.65,727.8284182,68.73,2664.85,5
Kab. Kulon Progo,DIY,87,77627477,2017,84.17,20.03,420.2196705,73.23,1178.49,5.97
Kab. Sleman,DIY,86,80855810,2017,96.75,8.13,1190.0369,82.85,2047.96,5.35
Indonesia ,Indonesia,74954,60000000000,2017,26582.99,10.12,262677.7668,70.81,1257875.5,5.07
Kab. Lebak,Banten,340,238375414,2018,108.82,8.41,1293.936,,,
Kab. Pandeglang,Banten,326,229357865,2018,116.16,9.61,1208.741,,,
Kab. Serang,Banten,326,227750343,2018,64.46,4.3,1499.07,,,
Kab. Tangerang,Banten,246,241697257,2018,190.05,5.18,3668.919,,,
Kab. Bandung,Jawa Barat,270,261633710,2018,246.13,6.65,3701.203,,,
Kab. Bandung Barat,Jawa Barat,165,199563747,2018,169,10.06,1679.92,,,
Kab. Bekasi,Jawa Barat,180,197271667,2018,157.21,4.37,3597.483,,,
Kab. Bogor,Jawa Barat,416,402984941,2018,415.02,7.14,5812.605,,,
Kab. Ciamis,Jawa Barat,258,220290552,2018,85.72,7.22,1187.258,,,
Kab. Cianjur,Jawa Barat,354,349329452,2018,221.58,9.81,2258.716,,,
Kab. Cirebon,Jawa Barat,412,370821922,2018,232.37,10.7,2171.682,,,
Kab. Garut,Jawa Barat,421,401196915,2018,241.31,9.27,2603.128,,,
Kab. Indramayu,Jawa Barat,309,313434754,2018,204.18,11.89,1717.241,,,
Kab. Karawang,Jawa Barat,297,280151332,2018,187.96,8.06,2332.01,,,
Kab. Kuningan,Jawa Barat,361,261945042,2018,131.16,12.22,1073.322,,,
Kab. Majalengka,Jawa Barat,330,315691541,2018,129.29,10.79,1198.239,,,
Kab. Pangandaran,Jawa Barat,93,77427209,2018,32.19,8.12,396.429,,,
Kab. Purwakarta,Jawa Barat,183,141497855,2018,75.94,7.99,950.438,,,
Kab. Subang,Jawa Barat,245,186150082,2018,136.61,8.67,1575.663,,,
Kab. Sukabumi,Jawa Barat,381,307727527,2018,166.33,6.76,2460.503,,,
Kab. Sumedang,Jawa Barat,270,192693343,2018,112.14,9.76,1148.975,,,
Kab. Tasikmalaya,Jawa Barat,351,325551302,2018,172.41,9.85,1750.355,,,
Kota Banjar,Jawa Tengah,16,17732525,2018,10.41,5.7,182.632,,,
Kab. Banjarnegara,Jawa Tengah,266,221842482,2018,141.72,15.46,916.688,,,
Kab. Banyumas,Jawa Tengah,301,298545418,2018,226.23,13.5,1675.778,,,
Kab. Batang,Jawa Tengah,239,167511013,2018,66.08,8.69,760.414,,,
Kab. Blora,Jawa Tengah,271,229074481,2018,102.5,11.9,861.345,,,
Kab. Boyolali,Jawa Tengah,261,192935985,2018,98.23,10.04,978.386,,,
Kab. Brebes,Jawa Tengah,292,343915727,2018,309.17,17.17,1800.641,,,
Kab. Cilacap,Jawa Tengah,269,243267268,2018,193.18,11.25,1717.156,,,
Kab. Demak,Jawa Tengah,243,229662643,2018,144.12,12.54,1149.282,,,
Kab. Grobogan,Jawa Tengah,273,246285582,2018,168.7,12.31,1370.431,,,
Kab. Jepara,Jawa Tengah,184,191881485,2018,86.54,7,1236.286,,,
Kab. Karanganyar,Jawa Tengah,162,139229018,2018,87.79,10.01,877.023,,,
Kab. Kebumen,Jawa Tengah,449,350115647,2018,208.66,17.47,1194.39,,,
Kab. Kendal,Jawa Tengah,266,216593703,2018,94.7,9.84,962.398,,,
Kab. Klaten,Jawa Tengah,391,321520294,2018,151.73,12.96,1170.756,,,
Kab. Kudus,Jawa Tengah,123,119227194,2018,59.99,6.98,859.456,,,
Kab. Magelang,Jawa Tengah,367,329260677,2018,143.44,11.23,1277.293,,,
Kab. Pati,Jawa Tengah,401,362612350,2018,123.94,9.9,1251.919,,,
Kab. Pemalang,Jawa Tengah,211,248799035,2018,208.34,16.04,1298.878,,,
Kab. Purworejo,Jawa Tengah,469,325602817,2018,83.55,11.67,715.938,,,
