,hs07,year,export_val,import_val,export_val_perc,import_val_perc,country
0,1.0,2008,63431980.04,358611772.0,0.0004890416039573557,0.003635833264729806,indonesia
1,2.0,2008,32526334.439999998,238646027.0,0.00025076831521513666,0.002419544563813726,indonesia
2,3.0,2008,2238171765.89,98839096.0,0.017255635243179974,0.001002093353178107,indonesia
3,4.0,2008,405210898.73,859054164.0,0.0031240548967722374,0.008709635180843573,indonesia
4,5.0,2008,24669835.41,49579023.0,0.00019019705629025747,0.0005026635351396222,indonesia
5,6.0,2008,19124143.240000002,1672156.0,0.00014744142747084616,1.695337655735834e-05,indonesia
6,7.0,2008,70511174.03,237560115.0,0.0005436200733888905,0.0024085349002152616,indonesia
7,8.0,2008,252813811.8,378735839.0,0.0019491189136344206,0.003839863801184843,indonesia
8,9.0,2008,1459341975.8300002,64269774.0,0.011251090382676944,0.0006516076728955424,indonesia
9,10.0,2008,40680461.72,1199859646.0,0.000313634198975489,0.01216493700026593,indonesia
10,11.0,2008,12395704.41,402617913.0,9.556717546929766e-05,0.004081995392670744,indonesia
11,12.0,2008,135699590.62,728990779.0,0.0010462032780832824,0.007390970210452251,indonesia
12,13.0,2008,68048368.93,32560854.0,0.0005246325822908852,0.00033012255967216427,indonesia
13,14.0,2008,65265803.31,588584.0,0.0005031798331718559,5.9674373608898935e-06,indonesia
14,15.0,2008,8076623780.799999,82755664.0,0.062268354950165826,0.0008390293334151978,indonesia
15,16.0,2008,708403108.73,43434746.0,0.0054615762005731676,0.0004403689635483854,indonesia
16,17.0,2008,131191132.46,542368169.0,0.0010114444134135892,0.00549887199626229,indonesia
17,18.0,2008,797515599.1500001,48474745.0,0.006148606862711573,0.0004914676654013881,indonesia
18,19.0,2008,179442231.35,169609298.0,0.0013834459618279778,0.0017196064820645949,indonesia
19,20.0,2008,253319105.06,107728053.0,0.001953014573618287,0.001092215228902122,indonesia
20,21.0,2008,170984183.29,251534544.0,0.0013182369397069208,0.002550216511865771,indonesia
21,22.0,2008,44009724.14,147469088.0,0.00033930181699474434,0.0014951350109883373,indonesia
22,23.0,2008,546308535.65,1015227539.0,0.00421187549815401,0.010293019766138566,indonesia
23,24.0,2008,378578436.93,369579910.0,0.002918726577716268,0.003747035194243004,indonesia
24,25.0,2008,321920331.26,486038617.0,0.002481909520191507,0.0049277673227968374,indonesia
25,26.0,2008,5638166364.75,243168278.0,0.04346857721699701,0.0024653940085365214,indonesia
26,27.0,2008,37461575991.93,15782241766.0,0.28881755225536254,0.16001036241730202,indonesia
27,28.0,2008,522670129.6500002,796231899.0,0.004029630454282681,0.008072703270943329,indonesia
28,29.0,2008,1536006356.2499998,3003299066.0,0.011842149837913105,0.0304493480155324,indonesia
29,30.0,2008,103849414.0,312158331.0,0.0008006479375319129,0.003164858859436264,indonesia
