,year,hs07,rca_x,rca_i
0,2008,1.0,0.44030546560910316,3.273499116551567
1,2008,2.0,0.039997562707936196,0.3859175164646578
2,2008,3.0,3.419652491746245,0.1985908362030126
3,2008,4.0,0.6702167299360111,1.8685149277829105
4,2008,5.0,0.40432258584110836,1.0685665924656764
5,2008,6.0,0.12439354074886785,0.014303242811790205
6,2008,7.0,0.16946823324529856,0.7508371640934991
7,2008,8.0,0.39655704021447735,0.7812376213536171
8,2008,9.0,5.285456150878472,0.3061075562931586
9,2008,10.0,0.043634952118572726,1.6924699068709896
10,2008,11.0,0.09132439348997658,3.900771908695975
11,2008,12.0,0.245090221543615,1.7314556016484492
12,2008,13.0,1.551133927173417,0.9760436536267513
13,2008,14.0,9.534347982908097,0.11307214760533885
14,2008,15.0,11.949255719446292,0.1610091686079447
15,2008,16.0,2.211947688409668,0.17835018229109736
16,2008,17.0,0.45991217297495385,2.5003827547645407
17,2008,18.0,2.849790007030156,0.22778812711811205
18,2008,19.0,0.45680431067017047,0.5678021949092664
19,2008,20.0,0.609640113290155,0.34093868263102584
20,2008,21.0,0.41914613893012276,0.8108659165777692
21,2008,22.0,0.05654253057564491,0.24915492001176898
22,2008,23.0,1.2113125276480077,2.9602166055190513
23,2008,24.0,1.3269588961564416,1.7035380166048986
24,2008,25.0,0.7066157776149954,1.4029673968323946
25,2008,26.0,3.8321818320177736,0.21734868572059926
26,2008,27.0,1.536764160041782,0.851396282109434
27,2008,28.0,0.446954557941309,0.8954001025120729
28,2008,29.0,0.46005168499589905,1.182916451261069
29,2008,30.0,0.03158620158832544,0.12485621363237373
30,2008,31.0,0.06819403078652797,2.1655739116152772
31,2008,32.0,0.41283040269272303,1.6469173239578219
32,2008,33.0,0.49775677414295866,1.1898195243653635
33,2008,34.0,0.6005454010669549,1.4299705103988867
34,2008,35.0,0.1816747778144145,1.5720342821255366
35,2008,36.0,0.09819140710670309,1.414229199342442
36,2008,37.0,0.016864166306579817,0.6774711302578965
37,2008,38.0,1.1126888490413716,1.3617195473160058
38,2008,39.0,0.436326794376449,1.0436894143540596
39,2008,40.0,5.725858950644407,1.3362282337535458
40,2008,41.0,0.8949544705937375,1.9372202117555157
41,2008,42.0,0.6162504408278423,0.47322974936827755
42,2008,43.0,0.0035138440589805166,0.0878283978213446
43,2008,44.0,3.118632456319792,0.3865029144943603
44,2008,45.0,0.008523481727881964,0.09085021682786598
45,2008,46.0,4.689271806098988,1.0673032005056085
46,2008,47.0,3.7777442453467462,4.061770232434602
47,2008,48.0,1.6769314302113096,0.6500775647583054
48,2008,49.0,0.13406215522923723,0.26251609358917327
49,2008,50.0,0.03489677110314367,1.5357828117702585
50,2008,51.0,0.08061725779698084,0.6946802074837003
51,2008,52.0,1.2741680007717406,4.7841341531324275
52,2008,53.0,0.14758825792025995,1.8410010432161408
53,2008,54.0,2.5525602292136234,1.733275218122477
54,2008,55.0,5.408378451038417,2.808623529527447
55,2008,56.0,0.6309669247276346,1.3547686949195201
56,2008,57.0,0.34382061004598924,0.4455470216008775
57,2008,58.0,0.4218153119439389,3.4239722443348364
58,2008,59.0,0.6089017545274856,2.801182099401829
59,2008,60.0,0.3872911848064625,6.905266395304613
60,2008,61.0,2.5512737000251393,0.3883932818304036
61,2008,62.0,2.584760862967369,0.23690123637795615
62,2008,63.0,0.5010495734345258,0.2827082163313898
63,2008,64.0,3.414824448150302,0.4292729608377958
64,2008,65.0,0.748986505542743,0.4803578321214534
65,2008,66.0,0.6502115481392247,1.9874593165809442
66,2008,67.0,3.0844948436012034,0.7083924344843324
67,2008,68.0,0.31834360052177124,0.6930239768012724
68,2008,69.0,0.8116916414285223,0.7345338428475686
69,2008,70.0,0.6306356862400286,0.5365911017533374
70,2008,71.0,0.6716463188868663,0.08055628711100668
71,2008,72.0,0.2652495172963575,1.5932889141671576
72,2008,73.0,0.414508928754102,1.5821263767786078
73,2008,74.0,0.831321889928744,0.7883006310175202
74,2008,75.0,5.844129355658667,0.1809167409798392
75,2008,76.0,0.5380757159557552,1.0716475723272332
76,2008,78.0,0.03756731378872255,2.9740907071262406
77,2008,79.0,0.040154096122433876,2.3694943865419495
78,2008,80.0,31.52107497483256,0.2417211618579873
79,2008,81.0,0.005363214932648562,0.4992063850424788
80,2008,82.0,0.1005842735116323,1.135354369608861
81,2008,83.0,0.49707470594072295,1.4305094043466478
82,2008,84.0,0.3570829699118582,1.597732110434488
83,2008,85.0,0.6210363104807697,1.1509873320015451
84,2008,86.0,0.017415689508911036,0.273062872196875
85,2008,87.0,0.1881848281978359,0.7090760523245409
86,2008,88.0,0.017422849425982406,0.7732043776582945
87,2008,89.0,0.5158909130193089,1.2176277483922755
88,2008,90.0,0.25429623559656134,0.7007465747350562
89,2008,91.0,0.04140386543558473,0.6582320997029879
90,2008,92.0,11.388132017934286,3.582131341963763
91,2008,93.0,0.2962049913793676,0.1731219495400719
92,2008,94.0,1.561713145548864,0.33088459740386295
93,2008,95.0,0.5540594175801561,0.4468869295293435
94,2008,96.0,0.9700803425544452,1.6512279244459827
95,2008,97.0,0.08107738539028707,0.011404185932420896
96,2009,1.0,0.48309452435499783,3.2567885763226543
97,2009,2.0,0.0396647536958882,0.4140967407759593
98,2009,3.0,2.909728052192462,0.316958196273196
99,2009,4.0,0.8517331968282595,1.281151143281035
100,2009,5.0,0.3551018984661503,0.9300706952734022
101,2009,6.0,0.10663783863957774,0.020502270285096363
102,2009,7.0,0.2005832494088045,0.9721459614589172
103,2009,8.0,0.49114552753300594,0.9135855509802552
