,hs07,year,export_val,import_val,export_rca,import_rca,export_val_perc,import_val_perc,country
0,1.0,2008,63431980.04,358611772.0,2.70945,9.32394082,0.0004890416039573557,0.003635833264729806,indonesia
1,2.0,2008,32526334.439999998,238646027.0,3.3397717388000006,3.7336993499999998,0.00025076831521513666,0.002419544563813726,indonesia
2,3.0,2008,2238171765.89,98839096.0,21.51798,1.2801124,0.017255635243179974,0.001002093353178107,indonesia
3,4.0,2008,405210898.73,859054164.0,88.87889264,13.697648000000001,0.0031240548967722374,0.008709635180843573,indonesia
4,5.0,2008,24669835.41,49579023.0,13.126789385999999,16.261979980000003,0.00019019705629025747,0.0005026635351396222,indonesia
5,6.0,2008,19124143.240000002,1672156.0,0.6271017999999999,0.0785479,0.00014744142747084616,1.695337655735834e-05,indonesia
6,7.0,2008,70511174.03,237560115.0,3.996708592,12.072332274999999,0.0005436200733888905,0.0024085349002152616,indonesia
7,8.0,2008,252813811.8,378735839.0,7.087517521,7.121821380000001,0.0019491189136344206,0.003839863801184843,indonesia
8,9.0,2008,1459341975.8300002,64269774.0,72.62948899999999,15.2340935,0.011251090382676944,0.0006516076728955424,indonesia
9,10.0,2008,40680461.72,1199859646.0,0.12456113000000002,5.801381878000001,0.000313634198975489,0.01216493700026593,indonesia
10,11.0,2008,12395704.41,402617913.0,2.26155777,20.2404237,9.556717546929766e-05,0.004081995392670744,indonesia
11,12.0,2008,135699590.62,728990779.0,11.3969634122,9.99414056,0.0010462032780832824,0.007390970210452251,indonesia
12,13.0,2008,68048368.93,32560854.0,5.12787,1.893707,0.0005246325822908852,0.00033012255967216427,indonesia
13,14.0,2008,65265803.31,588584.0,24.070459999999997,0.1791299,0.0005031798331718559,5.9674373608898935e-06,indonesia
14,15.0,2008,8076623780.799999,82755664.0,102.217385548,6.788740809999999,0.062268354950165826,0.0008390293334151978,indonesia
15,16.0,2008,708403108.73,43434746.0,9.35746835,1.1522888,0.0054615762005731676,0.0004403689635483854,indonesia
16,17.0,2008,131191132.46,542368169.0,9.389391839999998,5.941564,0.0010114444134135892,0.00549887199626229,indonesia
17,18.0,2008,797515599.1500001,48474745.0,21.0889929,1.65071256,0.006148606862711573,0.0004914676654013881,indonesia
18,19.0,2008,179442231.35,169609298.0,3.0858979,2.8322370000000006,0.0013834459618279778,0.0017196064820645949,indonesia
19,20.0,2008,253319105.06,107728053.0,5.35104175,3.6142906000000004,0.001953014573618287,0.001092215228902122,indonesia
20,21.0,2008,170984183.29,251534544.0,1.8935106500000003,4.093962,0.0013182369397069208,0.002550216511865771,indonesia
21,22.0,2008,44009724.14,147469088.0,0.6038996409999999,1.7026334,0.00033930181699474434,0.0014951350109883373,indonesia
22,23.0,2008,546308535.65,1015227539.0,18.8323929,20.213324999999998,0.00421187549815401,0.010293019766138566,indonesia
23,24.0,2008,378578436.93,369579910.0,3.3675170000000003,5.537121,0.002918726577716268,0.003747035194243004,indonesia
24,25.0,2008,321920331.26,486038617.0,13.987751646,44.0956024,0.002481909520191507,0.0049277673227968374,indonesia
25,26.0,2008,5638166364.75,243168278.0,98.48481620000001,3.068220016,0.04346857721699701,0.0024653940085365214,indonesia
26,27.0,2008,37461575991.93,15782241766.0,59.811232616,10.62051597,0.28881755225536254,0.16001036241730202,indonesia
27,28.0,2008,522670129.6500002,796231899.0,13.284842923499998,66.91555479999998,0.004029630454282681,0.008072703270943329,indonesia
28,29.0,2008,1536006356.2499998,3003299066.0,25.365536314000003,47.96420840000001,0.011842149837913105,0.0304493480155324,indonesia
29,30.0,2008,103849414.0,312158331.0,0.18008923,1.0066723000000002,0.0008006479375319129,0.003164858859436264,indonesia
30,31.0,2008,48511142.59,1171456794.0,1.0389574499999998,11.565069999999999,0.0003740064076047655,0.011876970898264132,indonesia
31,32.0,2008,240427911.91,729361998.0,4.483280970000001,23.521630000000005,0.0018536273280833915,0.007394733863779002,indonesia
32,33.0,2008,349896129.99,636005942.0,8.968092799999997,8.478371999999998,0.002697594565404978,0.006448231042703796,indonesia
33,34.0,2008,231242599.16,418704087.0,4.12215898,9.006675600000001,0.0017828113126085897,0.004245087212566248,indonesia
34,35.0,2008,35638187.1,234499057.0,0.7755520410000001,10.827391,0.0002747597689765628,0.002377499955546275,indonesia
35,36.0,2008,3202427.7199999997,35073877.0,1.33655516,7.4661599999999995,2.4689760397810487e-05,0.0003556011784232272,indonesia
36,37.0,2008,2833698.0,86564057.0,0.23332441,5.287667,2.1846964483480922e-05,0.000877641233625111,indonesia
37,38.0,2008,1411938516.3400002,1313977243.0,25.280019392999996,39.5773156,0.010885623880645973,0.013321933472940648,indonesia
38,39.0,2008,1775223076.4699998,3229017897.0,7.473475699999998,27.320034999999997,0.013686439240136326,0.03273782847909545,indonesia
39,40.0,2008,7732766237.100001,1372249250.0,60.41332580000001,21.599631,0.0596173160799013,0.013912731985414378,indonesia
40,41.0,2008,206209454.56,339425718.0,12.135660000000001,14.0343379,0.001589813251069907,0.0034413128981421125,indonesia
41,42.0,2008,242697508.0,141722314.0,2.20113115,1.8509426000000002,0.0018711252354715736,0.0014368705765623409,indonesia
42,43.0,2008,163616.0,3109828.0,0.012602740000000001,1.8471774,1.261430449161913e-06,3.152940581657248e-05,indonesia
43,44.0,2008,3055407905.8299994,287949215.0,69.66449290000001,9.3061217,0.023556281580187733,0.0029194115090283063,indonesia
44,45.0,2008,138166.91,1119879.0,0.02106607,0.4190228100000001,1.0652255729306035e-06,1.1354042556841526e-05,indonesia
