,year,hs07,rca_x,rca_i
0,2008,1.0,0.2176656964136378,0.1312239355394333
1,2008,2.0,0.14027993673608424,1.1412138341641644
2,2008,3.0,11.064817704424472,0.8310805564435512
3,2008,4.0,0.24487230212579247,1.145711059158148
4,2008,5.0,0.35619829934680397,1.5531340336029318
5,2008,6.0,0.20089083596055124,0.18500959650127038
6,2008,7.0,1.1173987727566648,0.5360721946747149
7,2008,8.0,3.486242651429782,1.2978592136117102
8,2008,9.0,18.698527385739897,0.3494159436884013
9,2008,10.0,5.759350751463884,0.8353020701592886
10,2008,11.0,2.649365387024849,2.1982550405281076
11,2008,12.0,0.09821452332192322,0.6381209931067626
12,2008,13.0,0.3305213932895445,1.142201486792884
13,2008,14.0,1.749978597693154,0.2065022265671313
14,2008,15.0,0.2291646011071692,1.7072818139969186
15,2008,16.0,4.405346297780689,0.3433522744292739
16,2008,17.0,0.4534731104402334,1.0821154708523446
17,2008,18.0,0.01950628504975199,0.09198887040691685
18,2008,19.0,1.2594780159289674,0.9467991077206264
19,2008,20.0,0.8382225824870181,0.14933520689308777
20,2008,21.0,0.3554603120575591,0.7934084937738883
21,2008,22.0,0.17614765107431818,0.49720760240723155
22,2008,23.0,0.22311630983952993,5.434894011969137
23,2008,24.0,0.7714017859574657,1.6949478134241032
24,2008,25.0,0.973199420748034,1.1050196314780858
25,2008,26.0,0.28088382735155265,0.05188097498510953
26,2008,27.0,0.9886332640915664,0.8454265379300151
27,2008,28.0,0.10687146837945262,0.8162101829701627
28,2008,29.0,0.08453056912377188,0.6498143987688896
29,2008,30.0,0.009705574924386536,0.35760676758080223
30,2008,31.0,0.6411326715403416,2.8257075624293884
31,2008,32.0,0.0789305553413377,1.5002988219129203
32,2008,33.0,0.18577695521784912,0.6429041789958967
33,2008,34.0,1.4935809967735745,0.9364505613852229
34,2008,35.0,0.4959594073339488,1.3974091789010534
35,2008,36.0,0.06831943772159518,0.17475648556964785
36,2008,37.0,0.018176356706411885,0.646568035788783
37,2008,38.0,0.19770081243411886,1.5731396036410878
38,2008,39.0,0.5779449633264776,1.7077297794736424
39,2008,40.0,1.6660781447652544,1.2461837086121474
40,2008,41.0,2.2225645717030145,7.774675269443436
41,2008,42.0,4.603795154059663,0.2631203178684721
42,2008,43.0,0.508747802323677,0.7318570550827728
43,2008,44.0,0.9874594934938441,1.359644106396917
44,2008,45.0,0.037405501341483086,0.0690330389853449
45,2008,46.0,16.565321564568354,0.1830137107439288
46,2008,47.0,0.0004086686164601171,0.9170983957327985
47,2008,48.0,0.4138803848325791,1.1643985666757348
48,2008,49.0,0.07002569046107504,0.22207697436619742
49,2008,50.0,2.7508305288652597,5.961652062562907
50,2008,51.0,0.20420513132564921,1.4517194644803888
51,2008,52.0,1.245748507487017,5.180097482257932
52,2008,53.0,1.3910330150437127,1.67840136448912
53,2008,54.0,1.7202729874214397,5.136779658393397
54,2008,55.0,1.8236612669201417,7.019111569715539
55,2008,56.0,0.9899824891660846,2.959774902832012
56,2008,57.0,0.5677747107188567,0.32170598393123184
57,2008,58.0,0.5468704083112543,4.842689146411159
58,2008,59.0,0.9706474239070263,5.610830312909797
59,2008,60.0,1.0627914911330643,10.13893211357114
60,2008,61.0,5.483281952004271,0.24060959149487035
61,2008,62.0,6.522533791619438,0.23383243708155252
62,2008,63.0,2.8493896186812377,0.3886215681687588
63,2008,64.0,16.861760111837892,0.5645322948924897
64,2008,65.0,6.471488219766202,0.29746253891756747
65,2008,66.0,0.573688495228858,0.07389695834902589
66,2008,67.0,0.6306800902192851,0.7314865396029244
67,2008,68.0,0.7366110706215616,0.6957835513884204
68,2008,69.0,2.2355828100844533,0.5797010401572534
69,2008,70.0,0.8248830354230768,0.6156209433077688
70,2008,71.0,0.45387973175665514,1.5769994817049642
71,2008,72.0,0.7554374114060077,2.7023987909539917
72,2008,73.0,0.6536163153155451,1.0175839296586449
73,2008,74.0,0.21689558315990234,1.1042882353146213
74,2008,75.0,0.0005628784242120777,0.1510284333049457
75,2008,76.0,0.2137922175298204,1.0254909192522452
76,2008,78.0,0.7488239700746088,5.0606979892461945
77,2008,79.0,0.4143335213558532,1.6674535143495988
78,2008,80.0,1.7294806860223437,0.48100112850411236
79,2008,81.0,0.5669003628228988,0.18687369050966526
80,2008,82.0,0.8579267045025428,0.5360945140229192
81,2008,83.0,0.2982798657971472,0.9701814622755255
82,2008,84.0,0.4442260709376935,1.1595699725047581
83,2008,85.0,0.45693371244287495,0.8206696548078829
84,2008,86.0,0.027308311273076678,0.1002681529180655
85,2008,87.0,0.10433968974435709,0.5160838522360539
86,2008,88.0,0.027281903492178412,0.46042636977901663
87,2008,89.0,0.8138981741668575,0.3327290085816556
88,2008,90.0,0.24109153726711505,0.5887241442188468
89,2008,91.0,0.16174921696585084,0.13524217886214568
90,2008,92.0,0.6537092734536836,0.5359337683071779
91,2008,93.0,0.029492037234350534,0.035713396486196654
92,2008,94.0,4.415210808010331,0.2279268543535915
93,2008,95.0,0.7415081641091377,0.1511695223780187
94,2008,96.0,1.5284795835078488,2.643368514613108
95,2008,97.0,0.03197066598912157,0.006883498419604979
96,2009,1.0,0.19921982476556307,0.1379545188788236
97,2009,2.0,0.11864962077795634,1.7914592952857584
98,2009,3.0,8.912013477065301,0.9593054811805309
99,2009,4.0,0.22538565427341997,0.8743286217889319
100,2009,5.0,0.2913191332750279,2.021058968718749
101,2009,6.0,0.25439233437883235,0.29340060171964316
102,2009,7.0,1.575379088677102,0.6519203090061373
103,2009,8.0,2.9505065921306137,1.6696317606154787
