,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,180,301,302,303,304,305,309,310,409,509,600,700
Industri alas kaki dan Kulit,14,0,0,0,24.88468375,0,0,2.532838051,26.71723707,0,0,0,0,248.4346174,1004.754283,6.434005718,0.60401751,0.111095479,0,0,9.336469029,1.677486555,0,0.172187169,0.466420515,16.62717135,0.926545521,79.07274805,0.793565405,33.68710932,17.87031301,24.41129729,160.2620396,17.78968914,824.4044694,6.674374893,2508.644664,84301.48625,0,64.03677721,-545.2457944,25166.90063,108987.1779,111495.8225,0,0,111495.8225,111495.8225
"Industri barang kayu, rotan dan bambu",15,0,11466.30556,11885.76261,1672.611061,0,2183.545912,0,493.6227081,0,1.426672736,154.5958717,612.3051096,45.66731322,307.4196109,129950.617,713.4928131,2.65625489,5.538285139,0,13884.97328,534.9398976,0.172559351,5182.282626,12.31607008,0.054583508,881138.1192,9202.78562,127.8277616,222.4310251,0,30.04219371,433.3910833,133.6142335,2626.305724,137.13596,1073161.959,79824.94204,0,267.0605147,2391.53799,1595262.719,1677746.26,2750908.218,0,0,2750908.218,2750908.218
Industri pulp dan kertas,16,0,2161.875489,4806.996706,341.6943585,1306.312639,674.2274776,31.45684192,1571.427311,0,9.34931033,2.906624901,23417.96371,387.1177676,499.9495228,2549.052844,239055.4247,29.06365258,171.1644976,110637.2692,2295.707209,396.2673592,0.66368691,42.7585926,7.097035662,7080.02517,11741.55366,143254.8837,2299.044723,5465.901689,830.3871914,12966.42942,32994.73381,48474.05537,391661.6123,18417.54162,1065581.915,308106.4963,0,0,536.3009705,0,308642.7973,1374224.712,0,0,1374224.712,1374224.712
Industri karet dan barang dari karet,17,85.17162856,90.13866722,121.3467816,45.24623295,1.760839832,141.2422038,0,7.178283589,0,4.830762452,0.00966511,769.5405319,66.75266064,153.3478366,491.0452033,259.0224119,660.5106249,2.695287185,32.05318254,408.3481991,21.55384089,0.104495917,133.3900729,1.248629959,1.147666196,3519.544355,2146.767637,26.42516783,479.4150602,13.72183099,22.30762415,23.82177602,127.2455385,579.375873,286.1225026,10722.43307,10467.13312,0,0,211.8165811,253234.9235,263913.8732,274636.3063,0,0,274636.3063,274636.3063
Industri petrokimia,18,665.4588596,256.2990928,583.3657883,152.8809483,2.712484318,3.671946067,0.594134534,721.8834651,0,0.2585577,1.335086181,164.8984969,71.70005486,53.87648767,169.8057321,1484.990636,202.5142411,29.43827336,1789.505576,79.24380084,1.061420483,0.049835118,31.80166269,1.142255763,49.36324287,257.4454855,114.1302836,8.216351489,48.63650771,10.86336888,5.148718752,15.3921381,46.49446844,1583.333519,314.6664174,8922.179338,1387.702558,0,0,-80.39010654,8335.044306,9642.356757,18564.53609,0,0,18564.53609,18564.53609
Industri semen,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62861.14395,0,0,0,0,54.91108356,0,6345440.991,0,0,0,0,0,0,0,0,0,6408357.046,0,0,0,36365.60808,1900227.878,1936593.486,8344950.532,0,0,8344950.532,8344950.532
Industri dasar besi dan baja dan logam dasar bukan besi,20,0,0,0,0,1287.105705,635.6060194,5.661964782,0,0,0.003459098,0,201.9235624,0.185542295,19.27334664,186.2163166,274.6183983,15.24292778,8.244235349,0,247607.1342,39442.13029,106.9706074,11434.89792,6058.651122,0,706854.4211,0,0,0,0,0,1891.46981,0,0,17.43471105,1016047.191,0,0,0,2573.779414,12236.81388,14810.59329,1030857.785,0,0,1030857.785,1030857.785
Industri barang dari logam,21,7340.170414,7392.223834,14609.06885,174.9053117,241.1066678,2061.759422,23.55555282,6522.050091,0,8.730120626,17.60874624,646.3477264,9.737920455,76.3150761,527.4676078,184.3568185,17.38858311,5.952059304,0,17597.23405,3203.167072,0.368144713,185.7176262,6.69580251,308.5382735,83404.46005,222.5907582,160.5693194,71.35329452,39.78278782,17.18236908,157.6363768,292.132488,3248.910285,125.2776974,148900.3612,20154.92334,0,2892.255444,-78.28007424,50.38607874,23019.28478,171919.646,0,0,171919.646,171919.646
Industri mesin listrik dan peralatan listrik,22,0.164754766,0.243147576,1.131717382,0.115108463,0.291430128,0.396540384,0.304554355,90.8194698,0,0.023185242,0.06029863,11.71372777,0.069220667,0.037463455,4.226849053,0.20157319,0.040525349,0.010561544,1.94652642,3.412557404,0.041223898,0.013450478,1.441840166,0.00417472,23.27197022,26.75144719,2.194452953,0.102360956,0.980235857,0.245496457,0.153701241,4.751238113,6.012961964,30.45678066,0.539084409,212.1696309,67.86709626,0,1484.753715,8.662431873,0,1561.283243,1773.452874,0,0,1773.452874,1773.452874
Industri alat angkutan dan perbaikiannya,23,0,0,0,0,0,146801.1892,347.8421704,0,0,0,0,0,0,0,0,0,0.694692371,0,0,7057.484351,0,0,3337.079817,0,0,0,0,0,0,27569.85874,0,589.3701033,0,54577.59622,36.97315856,240318.0885,23762.84985,0,253622.3443,-331.1750954,0,277054.0191,517372.1076,0,0,517372.1076,517372.1076
Industri lainnya,24,0,4.572653375,276.5982612,59.25670302,11.12566939,69.74721713,0.035348817,44.41589794,0,0.400127815,0.700590948,498.6436309,24.66785057,1.502696608,50616.92185,6658.479451,531.5538114,39.47141348,1.598160789,6868.161669,97.47606147,0.754204122,2947.500252,12.73167669,7.799292796,125111.255,1071.550458,164.145625,295.119804,8.078879328,30.74953845,223.9904585,106.2022016,5163.626292,248.8353277,201197.6681,21027.35681,0,203.7897174,-2021.4868,50598.48096,69808.14068,271005.8088,0,0,271005.8088,271005.8088
"Listrik, gas dan air bersih",25,0,0,3886.2304,928.1837451,139.8199704,542.1770106,736.4224934,6660.833159,0,6.408575787,310.0933459,120350.8026,3150.008515,800.4675481,74203.79876,7248.331047,165.3451607,66.81337412,59596.20183,6834.659357,584.5989232,21.58431503,491.8446318,958.4869012,32354.66924,3268.567375,48356.15817,3526.127145,632589.9516,455394.9451,812591.3939,76436.55584,25491.37116,183293.8316,5054.363139,2566041.046,932592.3901,0,0,0,0,932592.3901,3498633.436,0,0,3498633.436,3498633.436
Bangunan,26,1428.501966,729.9144762,19246.23344,61.28729735,1293.65463,265.1707329,1025.515276,320504.9495,0,0,8.831856172,9.254433901,51.65394529,79.26899696,1559.345849,9.307958588,69.65245508,40.0884361,2855.747659,1932.698914,0,0,910.7772634,17.77462272,22726.59672,17275.35549,68293.01868,3969.705255,15594.16804,3722.296078,5534.656114,80127.76957,393146.2083,332964.1605,9936.990395,1305390.555,0,0,19676294.35,0,0,19676294.35,20981684.9,0,0,20981684.9,20981684.9
Perdagangan,27,59371.47757,166379.1469,110480.9344,67646.3435,723.7114402,175212.9482,480.5429798,110724.8732,0,81854.73656,584449.1219,1780160.648,23249.75961,1233.92189,95796.1705,57002.8416,4871.960791,424.6753216,39465.286,23485.88073,1749.769491,21.41338064,6293.032112,231.1111339,29452.8929,1424491.878,33630.18714,542491.2275,6159.24656,20903.92797,3325.260299,12576.68718,18600.51556,252048.3734,20623.65456,5755614.158,6131201.474,0,1354806.345,545.9519082,7590915.451,15077469.22,20833083.38,0,0,20833083.38,20833083.38
Hotel dan Restoran,28,0,17619.30838,23126.28704,2354.342529,2475.252655,22489.20326,76.12509775,29820.63659,0,53.79548243,49.40606881,9149.044915,5579.663561,896.6441108,4893.806,9313.250974,312.6362576,141.8352983,227317.186,6078.852439,585.2522201,0.762221091,1351.165156,92.67318103,2131.586451,76179.30574,204850.518,2075.839024,112109.0564,2223.921318,174612.2521,33400.33459,67766.21665,854988.4199,11578.69666,1905693.276,3025018.083,0,0,0,0,3025018.083,4930711.36,0,0,4930711.36,4930711.36
Angkutan darat,29,24925.49509,42404.73446,96331.7144,11326.9538,1896.109014,25431.12797,1183.148828,77762.82942,0,10780.66288,75009.89103,532522.0895,7264.985926,2366.230096,39338.01088,37772.20388,1184.633319,247.2616787,487823.8659,14623.78683,2207.198569,5.018916317,1149.27336,211.5845717,18202.84762,216280.3507,316140.4422,70544.56116,260978.4751,3103.797613,424.4472815,28597.42339,40158.94835,682573.6814,8839.132189,3139612.917,2332138.801,0,172931.9868,6451.853373,538673.7576,3050196.399,6189809.316,0,0,6189809.316,6189809.316
Angkutan Air,30,3621.462373,10331.36355,6761.274384,4126.201632,186.415536,10701.1941,104.6337838,12218.03808,0,5039.575541,35671.14088,113266.5579,2008.442487,283.466043,10927.94869,5050.110413,346.8221492,49.1226125,54544.048,2424.180168,246.2937943,1.521844825,487.0375105,31.90540725,1914.340017,87788.90608,34071.71736,33137.09119,27017.08622,7688.718939,202.8298022,59705.8796,1651.724725,114744.6921,1650.348748,648002.0917,862709.0284,0,82638.67437,3083.134704,257414.9876,1205845.825,1853847.917,0,0,1853847.917,1853847.917
Angkutan Udara,31,3743.743622,12615.74552,19866.22394,4997.007998,520.5284025,12308.32055,3034.314396,402704.3777,0,5178.198506,36858.14892,122396.4865,2031.830552,202.2249018,8169.891694,4788.069709,360.3584365,74.90600481,27714.87336,2644.235603,203.8226515,1.591063926,695.92179,58.94236402,5806.247421,105917.391,138251.3927,34613.14768,2326.477078,2810.614248,334696.7543,72981.91809,40661.54467,425484.8484,2893.57519,1837613.675,1503217.21,0,85429.02791,203187.2389,516106.7875,2307940.264,4145553.939,0,0,4145553.939,4145553.939
Komunikasi,32,1185.584115,5772.949342,4722.638898,1515.836749,215.1158122,5152.120281,263.303981,12983.47799,0,1704.741704,11928.91538,80070.97185,1389.284794,740.4854074,10877.66908,5911.363287,301.1843783,135.3538291,63877.7529,5695.179805,579.8414762,1.664755925,1143.364558,38.83881273,8725.832121,50763.07169,242383.4216,16207.09331,70074.13036,44552.1194,87720.90227,273359.2049,46056.70039,1214647.835,3722.121816,2274420.072,649212.6027,0,27054.01564,1009.347925,84271.79105,761547.7573,3035967.829,0,0,3035967.829,3035967.829
Lembaga keuangan dan Jasa Pertanian,33,173531.4013,65510.07246,231213.0933,9226.947703,7973.510287,96451.51942,86609.49159,79132.71021,0,315.9071553,1435.691619,740654.5297,3815.771627,2875.909053,58434.20813,47725.34071,428.6232125,663.3761165,537120.4968,23169.87888,2739.59047,50.79151514,1075.629327,149.177723,60134.42632,350474.0141,791182.4422,9624.00534,186209.002,17643.79446,77181.60091,70381.48052,1025156.502,272010.7297,39668.72967,5069970.396,4495188.887,0,0,0,0,4495188.887,9565159.283,0,0,9565159.283,9565159.283
Pemerintahan umum dan pertahanan,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15608711,0,0,0.15608711,0,32627339.98,0,0,0,32627339.98,32627340.14,0,0,32627340.14,32627340.14
Jasa-jasa lainnya,35,2015.786614,1896.493266,7867.852625,847.2634993,730.4327872,650.6428704,562.5359461,2966.602608,0,33.97737229,36.05463191,4741.347268,158.0056311,73.91925892,1812.360726,3344.332091,20.43846515,28.76588003,30676.48499,704.2548779,40.52995778,0.151857568,221.7103244,19.68269989,4797.01883,13833.95433,9494.223231,851.4308697,125043.3017,434.5773746,3013.151661,15069.10638,19654.51257,29546.64514,12663.46462,293851.013,738672.3242,0,0,0,0,738672.3242,1032523.337,0,0,1032523.337,1032523.337
Jumlah Input Antara,190,1238747.105,1135860.592,1249342.976,514783.386,19147.31363,840886.2489,99358.35344,1065170.795,0,597241.4089,2344107.007,21487959.6,141091.0984,13172.36911,547431.817,465698.6392,70279.95654,3801.866408,1799412.17,384529.0035,52636.06719,221.6220185,37178.17758,8309.511901,531071.9519,11443153.45,2057743.076,2950765.199,1451560.281,630286.3346,1514398.212,760826.3576,1738301.719,5330977.876,217156.9691,62742608.51,50210478.54,32627339.98,21793507.58,361864.3037,36426092.7,141419283.1,204161891.6,0,0,204161891.6,204161891.6
Input Antara Impor,200,1351586.463,44153.57335,1628473.949,109783.1169,11289.34629,84126.85188,24371.5855,2354214.933,0,19592.61537,7405.531173,200957.3753,72999.5237,43680.39162,874184.0144,702873.4692,153974.5804,10678.61746,576287.9495,554290.1755,99591.30314,272.0343945,164584.0684,242468.997,1879589.402,3004019.901,93081.38649,227251.8793,801871.1108,304376.3867,17960.78627,298332.6741,16743.34522,7572882.771,9122.823907,23557072.93,10276909.69,0,5788450.532,20521.01729,0,16085881.24,39642954.17,39642954.17,0,-7.45058E-09,39642954.17
Upah dan Gaji,201,1463618.092,839656.4551,1487909.771,298076.1609,26354.33347,1498912.32,11522.26303,1985569.276,0,13530.04828,491199.1221,861759.3756,19909.91795,18281.07217,437539.0017,60002.70161,15551.49278,1544.394337,1361099.822,31168.65401,9024.09604,477.3855604,27646.81087,6931.687457,507298.8056,3372911.32,4216403.373,564043.5135,772301.6088,269158.3409,602460.9522,480504.2088,1588422.836,18770799.47,368149.8443,42479738.53,,,,,,,,,,,
Surplus Usaha,202,6980337.376,5186300.745,4664480.094,1198262.487,89963.98097,5851120.722,193913.0788,3784483.337,0,31372.86754,1306841.135,3335271.46,59270.27143,30554.25059,762033.6613,108393.1469,27590.63455,1948.419643,2851696.088,43064.60325,6908.534002,522.4011244,231497.8682,10003.88742,-162991.0399,2346162.021,12134131.78,932772.0772,2541114.907,427569.0666,521178.8694,1034749.059,5563842.309,0,320368.897,62414728.99,,,,,,,,,,,
Penyusutan,203,145229.8827,25878.76662,114766.2067,28831.09166,5119.723838,287225.8747,10511.75115,830068.9177,0,1746.790415,38812.31015,152714.0072,2534.851611,3251.52378,105378.1063,24503.18384,4465.188712,299.8338179,1036983.625,7600.72898,1401.284734,148.2953216,24933.59573,1580.659905,742133.9194,521310.8364,1089608.682,111263.8066,566843.0262,184351.6261,1462255.651,437791.9629,419826.4696,952680.024,98008.79844,9440061.003,,,,,,,,,,,
Pajak Tak Langsung ,204,69372.59916,56415.49683,38154.86333,16654.96549,1064.637014,68723.6136,2272.474521,301339.2621,0,451.0815828,6194.888871,71846.85473,1651.507466,2556.215245,24341.61771,12753.57169,2774.453287,291.4044299,719470.8781,10204.61927,2358.360878,131.714455,31531.58684,1711.065124,1530.396795,294127.3722,1242115.088,144614.8844,56118.38326,38106.162,27299.46818,23763.56702,238022.6043,0,19716.00446,3527681.662,,,,,,,,,,,
Subsidi,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Nilai Tambah Bruto,209,8658557.949,6108251.464,6305310.935,1541824.705,122502.6753,7705982.531,218219.5675,6901460.793,0,47100.78781,1843047.456,4421591.697,83366.54845,54643.06179,1329292.387,205652.604,50381.76933,4084.052228,5969250.413,92038.6055,19692.27565,1279.796461,315609.8616,20227.2999,1087972.082,6534511.55,18682258.92,1752694.282,3936377.925,919185.1955,2613194.941,1976808.797,7810114.219,19723479.49,806243.5442,117862210.2,,,,,,,,,,,
Jumlah Input,210,11248891.52,7288265.63,9183127.86,2166391.208,152939.3352,8630995.631,341949.5064,10320846.52,0,663934.8121,4194559.994,26110508.67,297457.1705,111495.8225,2750908.218,1374224.712,274636.3063,18564.53609,8344950.532,1030857.785,171919.646,1773.452874,517372.1076,271005.8088,3498633.436,20981684.9,20833083.38,4930711.36,6189809.316,1853847.917,4145553.939,3035967.829,9565159.283,32627340.14,1032523.337,204161891.6,,,,,,,,,,,
